"time","poolid","voltage","current","power","mqtttopic","raw"
2025-08-20 18:11:35.000 +0200,Pool H32,232.0,0.053,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:11:35\"",\""Epoch\"":1755706295,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.304,\""Yesterday\"":3.494,\""Today\"":3.268,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":232,\""Current\"":0.053}}"""
2025-08-20 18:06:35.000 +0200,Pool H32,234.0,0.067,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:06:35\"",\""Epoch\"":1755705995,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.304,\""Yesterday\"":3.494,\""Today\"":3.268,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":16,\""ReactivePower\"":16,\""Factor\"":0.14,\""Voltage\"":234,\""Current\"":0.067}}"""
2025-08-20 18:01:35.000 +0200,Pool H32,235.0,0.051,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T18:01:35\"",\""Epoch\"":1755705695,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.303,\""Yesterday\"":3.494,\""Today\"":3.268,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":235,\""Current\"":0.051}}"""
2025-08-20 17:56:35.000 +0200,Pool H32,234.0,0.053,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T17:56:35\"",\""Epoch\"":1755705395,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.303,\""Yesterday\"":3.494,\""Today\"":3.268,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":234,\""Current\"":0.053}}"""
2025-08-20 17:51:35.000 +0200,Pool H32,239.0,0.056,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T17:51:35\"",\""Epoch\"":1755705095,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.303,\""Yesterday\"":3.494,\""Today\"":3.267,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":13,\""ReactivePower\"":13,\""Factor\"":0.18,\""Voltage\"":239,\""Current\"":0.056}}"""
2025-08-20 17:46:35.000 +0200,Pool H32,235.0,0.057,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T17:46:35\"",\""Epoch\"":1755704795,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.303,\""Yesterday\"":3.494,\""Today\"":3.267,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":13,\""ReactivePower\"":13,\""Factor\"":0.16,\""Voltage\"":235,\""Current\"":0.057}}"""
2025-08-20 17:41:35.000 +0200,Pool H32,232.0,0.052,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T17:41:35\"",\""Epoch\"":1755704495,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.303,\""Yesterday\"":3.494,\""Today\"":3.267,\""Period\"":23,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":232,\""Current\"":0.052}}"""
2025-08-20 17:36:35.000 +0200,Pool H32,234.0,2.422,438.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T17:36:35\"",\""Epoch\"":1755704195,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.280,\""Yesterday\"":3.494,\""Today\"":3.244,\""Period\"":36,\""Power\"":438,\""ApparentPower\"":568,\""ReactivePower\"":362,\""Factor\"":0.77,\""Voltage\"":234,\""Current\"":2.422}}"""
2025-08-20 17:31:35.000 +0200,Pool H32,234.0,2.418,433.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T17:31:35\"",\""Epoch\"":1755703895,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.243,\""Yesterday\"":3.494,\""Today\"":3.208,\""Period\"": 5,\""Power\"":433,\""ApparentPower\"":565,\""ReactivePower\"":363,\""Factor\"":0.77,\""Voltage\"":234,\""Current\"":2.418}}"""
2025-08-20 17:26:35.000 +0200,Pool H32,236.0,0.056,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T17:26:35\"",\""Epoch\"":1755703595,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.239,\""Yesterday\"":3.494,\""Today\"":3.203,\""Period\"":10,\""Power\"": 2,\""ApparentPower\"":13,\""ReactivePower\"":13,\""Factor\"":0.17,\""Voltage\"":236,\""Current\"":0.056}}"""
2025-08-20 17:21:35.000 +0200,Pool H32,231.0,2.337,425.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T17:21:35\"",\""Epoch\"":1755703295,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.228,\""Yesterday\"":3.494,\""Today\"":3.193,\""Period\"":35,\""Power\"":425,\""ApparentPower\"":541,\""ReactivePower\"":334,\""Factor\"":0.79,\""Voltage\"":231,\""Current\"":2.337}}"""
